Environment,Genotype,Group,Geno.GY_control,Geno.GY_test,Trial.GY_control,Trial.GY_test,Cov_DSI,SD_blue,SD_weight,PH_blue,PH_weight,NDVI_blue,NDVI_weight,GR_blue,GR_weight,GY_blue,GY_weight,TKW_blue,TKW_weight,TW_blue,TW_weight
2021 THD,Billings,Check,0.5589,0.5264,0.8366,-0.1348,0.0335,0.4031,66.3563,0.0648,78.8093,0.329,251.038,0.687,604.6499,0.5264,115.1555,1.9327,180.3467,1.0674,173.5211
2021 THD,Joe,Check,1.005,0.7257,0.8366,-0.1348,0.2875,1.1777,65.6797,0.3633,78.8637,0.8911,251.6581,-0.1081,606.8271,0.7257,112.1884,-0.2362,155.8531,-1.3111,153.4789
2021 THD,KS061278M.4,Check,0.565,0.6251,0.8366,-0.1348,-0.0619,0.1027,91.0182,0.3584,105.0772,0.2654,357.3416,0.2426,849.4337,0.6251,156.115,-0.3999,238.5133,0.4993,224.8306
2021 THD,Showdown,Check,1.2173,1.4637,0.8366,-0.1348,-0.2536,0.5313,69.0728,0.5651,81.0176,0.5405,256.9758,-0.3244,615.6539,1.4637,123.1653,0.1397,191.9978,0.1291,177.7189
2021 THD,KSTdGD80.1,WIL,-0.784,-2.5867,0.8366,-0.1348,1.8557,-2.8953,6.9207,0.0485,8.1255,-1.0811,25.036,-0.4333,60.0276,-2.5867,12.6603,0.8083,19.7817,-2.3971,18.0666
2021 THD,KSTdGD80.10,WIL,1.1237,0.6996,0.8366,-0.1348,0.4366,1.03,7.4767,0.6779,8.3768,0.6604,29.5677,0.3764,69.6933,0.6996,12.8773,-0.6169,19.8613,-0.1609,18.072
2021 THD,KSTdGD80.100,WIL,-0.0049,-0.6943,0.8366,-0.1348,0.7097,-0.6179,6.9258,0.3593,8.143,0.2234,25.0384,0.2176,60.0509,-0.6943,12.6688,1.0222,19.7769,-0.2604,18.0723
2021 THD,KSTdGD80.101,WIL,-0.1496,0.2556,0.8366,-0.1348,-0.4171,-0.6645,7.6426,-0.5565,8.4133,0.5602,31.6725,0.135,73.1786,0.2556,12.9368,1.0786,19.8715,-0.9918,18.0421
2021 THD,KSTdGD80.102,WIL,1.236,-0.2205,0.8366,-0.1348,1.4993,-0.5361,7.6385,0.3798,8.3897,-0.0622,31.6709,-0.5715,73.1692,-0.2205,12.9253,-0.747,19.8623,-0.0241,18.042
2021 THD,KSTdGD80.103,WIL,0.5473,0.2306,0.8366,-0.1348,0.326,-0.3397,7.5072,1.2339,8.3622,0.6329,30.1208,1.2663,70.4323,0.2306,12.885,1.4141,19.8509,0.9675,18.0296
2021 THD,KSTdGD80.104,WIL,0.0054,-0.6156,0.8366,-0.1348,0.6393,-0.4613,7.6422,-0.9727,8.3959,0.1412,31.6722,0.7932,73.1702,-0.6156,12.9372,-1.5247,19.8751,-0.3154,18.0653
2021 THD,KSTdGD80.106,WIL,1.0213,0.7288,0.8366,-0.1348,0.3011,0.5728,7.5053,0.0071,8.3659,0.608,30.0306,0.3233,70.3275,0.7288,12.8879,-0.6613,19.8562,0.4668,18.0347
2021 THD,KSTdGD80.107,WIL,-0.6093,-1.1385,0.8366,-0.1348,0.5448,-2.3485,6.9211,0.3853,8.1326,0.056,25.0358,0.2122,60.0289,-1.1385,12.6616,2.5669,19.7707,-2.5834,18.0205
2021 THD,KSTdGD80.109,WIL,-0.7854,-1.0855,0.8366,-0.1348,0.3089,-0.8242,7.5087,1.6937,8.364,-0.1773,30.1214,0.2303,70.4405,-1.0855,12.8855,-0.8613,19.8551,-0.9838,18.0455
