Taxa	SD_unadj	SD_adj	SD_rn	PH_unadj	PH_adj	PH_rn	NDVI_unadj	NDVI_adj	NDVI_rn	GR_unadj	GR_adj	GR_rn	GY_unadj	GY_adj	GY_rn	TKW_unadj	TKW_adj	TKW_rn	TW_unadj	TW_adj	TW_rn
KSTdGD80.1	-0.687847459	-0.967300182	-0.798131476	-0.72179327	-1.008648349	-0.812691084	-0.338363786	-0.36946589	-0.205834191	-0.295847043	-0.187173093	-0.392183558	-1.75911161	-2.107142336	-2.090310054	1.479381648	0.955418898	0.573783662	-0.591679955	-1.710886984	-0.797130972
KSTdGD80.101	-0.497085287	-0.773472197	-0.577074302	-0.062672264	-0.346953655	-0.198289506	0.16886893	0.15985267	0.274997567	-0.052793354	0.054563959	-0.243103809	-0.244613738	-0.544641337	-0.894099252	1.405304139	0.881979518	0.603092108	-0.215799323	-1.291799057	-0.701269228
KSTdGD80.102	0.002708729	-0.297637442	-0.054148495	-0.193395227	-0.464077601	-0.195579697	-0.034586207	-0.042838647	0.092053381	-0.554651932	-0.453111127	-0.722047741	-0.034694132	-0.207206585	-0.253622024	0.453818159	-0.064714296	0.149923047	0.261813786	-0.765658078	-0.026812361
KSTdGD80.103	0.513346025	0.222453597	0.276021279	0.16521422	-0.118383635	0.000852789	0.263791247	0.238891291	0.362267714	0.330980693	0.450377073	0.168528176	0.148118156	-0.217812951	-0.437713365	1.425634102	0.894550084	0.478912367	1.146587306	-0.016499029	0.866372245
KSTdGD80.104	0.637866874	0.376662559	0.496618775	-1.138240097	-1.406366922	-1.203957886	-0.039298396	-0.057688623	0.054265954	0.110090677	0.221184935	-0.096460515	-0.324357839	-0.850583742	-1.027384093	-0.243993544	-0.785736905	-1.188833424	0.567476294	-0.736134169	0.142143579
KSTdGD80.106	0.278395162	-0.000559871	0.234454828	-0.02526309	-0.326733523	-0.183280561	0.142244276	0.129457559	0.222898658	0.001402064	0.103707135	-0.152981964	0.2146418	-0.054703777	-0.19167024	0.274677324	-0.248809037	-0.529214739	1.092433959	-0.059914876	0.753388189
KSTdGD80.109	-0.153977745	-0.44096611	-0.198682349	-0.091033432	-0.406358735	0.011712712	-0.202190398	-0.230903253	-0.05975949	-0.117437949	-0.003562558	-0.361920089	-1.183968201	-1.519647919	-1.667302666	0.541148694	0.014389642	-0.546380853	0.150629055	-0.94934854	-0.114400375
KSTdGD80.11	0.237617708	-0.034402889	0.058615139	0.161154624	-0.125447494	0.059554808	0.073706704	0.059612974	0.173828527	-0.086379227	0.026850307	-0.255810065	0.455748314	0.139963304	-0.057352685	0.994835198	0.46360766	0.082378615	1.008769973	-0.135689767	0.799619465
KSTdGD80.110	0.006043368	-0.257797892	-0.120913704	-0.744659735	-1.019181572	-0.79719789	0.112147507	0.075127361	0.145031451	-0.178919432	-0.067908544	-0.482556979	-0.827019238	-1.209652016	-1.192588736	0.444294714	-0.104109295	-0.331533155	0.920591351	-0.311779949	0.494985762
KSTdGD80.111	1.290225521	1.01277042	1.158423472	-0.021657057	-0.30457404	-0.158494531	-0.104269834	-0.126354976	0.001158566	0.038776193	0.169077401	-0.228610461	-1.237294544	-1.388324254	-1.322576712	0.505555801	-0.061390471	-0.510261708	0.342043594	-0.789074022	0.103478984
KSTdGD80.113	-0.473277586	-0.764153375	-0.484740302	-0.680747527	-0.977753109	-0.52659149	-0.050590987	-0.065336368	0.027726065	-0.850325671	-0.745988402	-0.920574178	-1.78194892	-2.022820841	-1.837087917	0.819553002	0.283176585	0.320950491	-0.207268521	-1.340253603	-0.709453126
KSTdGD80.116	-0.458480456	-0.733542047	-0.519716975	0.544780103	0.247472171	0.385291216	0.072360362	0.040684485	0.185769226	0.03292882	0.156803276	-0.20689218	-0.504204701	-0.82396958	-0.904749094	1.586957139	1.061443528	0.837478566	-1.491839464	-2.552865569	-1.766572933
KSTdGD80.118	0.146503353	-0.103279049	0.023414783	-1.049108168	-1.328729142	-1.1811651	-0.007500437	-0.039718566	0.077639148	-0.03236434	0.059489931	-0.201884132	-0.667364448	-1.601140815	-1.745277759	1.339128972	0.829944071	0.314292461	0.661062865	-0.817502988	0.22238739
KSTdGD80.119	0.417080754	0.155528868	0.275308566	-0.207382235	-0.475255976	-0.289630062	0.108929245	0.080978155	0.217792622	0.233076097	0.33288143	0.052975356	0.607346351	0.271940608	0.145987802	0.710998144	0.193820549	-0.184320078	1.085921176	-0.05104658	0.735582973
KSTdGD80.12	0.747380609	0.463033062	0.65198215	0.530556945	0.236247824	0.435452539	0.100803083	0.081852774	0.189259208	-0.540798766	-0.440040834	-0.712201732	-0.579634494	-0.958114348	-1.009819791	0.824719742	0.283247754	-0.02499259	0.514791451	-0.716119867	0.186962298
KSTdGD80.122	0.254426809	-0.008554039	0.121762304	0.123789939	-0.173715006	-0.035320396	0.143752491	0.120364034	0.2540561	0.073139345	0.17663364	-0.12008403	0.498010041	-0.059767422	-0.368880547	0.318384497	-0.191472224	-0.625339955	1.27455736	0.112873463	0.849312841
KSTdGD80.125	0.086806992	-0.17898991	-0.004874482	-0.512665398	-0.800176545	-0.634798086	-0.02735374	-0.059169211	0.049715189	-0.306323306	-0.204043277	-0.522918601	0.436692346	-0.106868665	-0.327785893	0.608277655	0.073808009	-0.43626603	1.062668112	-0.198153375	0.630410206
KSTdGD80.126	-0.125459382	-0.382819007	-0.253027722	-0.670423694	-0.942969422	-0.771970384	0.109869095	0.072450655	0.220964052	-0.251607161	-0.162031795	-0.455558359	-0.51724776	-1.04608269	-1.197753389	0.898662063	0.335369345	-0.031509179	0.72041266	-0.592440855	0.260676565
KSTdGD80.127	0.546277487	0.27405757	0.337919262	0.508882206	0.196374623	0.401998355	0.095485091	0.061851152	0.194259504	-0.097578816	0.013411214	-0.341865061	0.187569884	-0.233864285	-0.356371664	0.489337814	-0.046355777	-0.466742287	0.906027971	-0.307526255	0.400722457
KSTdGD80.128	-0.135585738	-0.409020819	-0.310329325	0.445765223	0.167802336	0.325360437	-0.016879601	-0.054031341	0.061950943	-0.197777667	-0.084902548	-0.440791659	-0.091708925	-0.260263176	-0.218147375	0.126539208	-0.363644991	-0.477749493	0.224626097	-0.771365333	-0.070053141
KSTdGD80.129	-0.160618279	-0.434942688	-0.448715357	-0.220061484	-0.505857466	-0.450867684	-0.029004156	-0.058454086	0.152098596	-0.003347736	0.118885572	-0.093988006	-0.057743719	-0.106434007	-0.436123287	1.626316574	1.098853672	0.917409512	0.621566858	-0.440637196	0.153394216
KSTdGD80.13	0.473773688	0.185683527	0.374407783	0.11401194	-0.190023199	0.032409332	0.077811749	0.058864123	0.179517473	-0.383026845	-0.275081822	-0.545962087	-0.070111216	-0.69300557	-0.798114659	0.876814483	0.320952205	-0.247825952	0.858816145	-0.420850771	0.651564971
KSTdGD80.130	0.243330857	0.007237106	0.127515188	0.201789497	-0.066351414	0.072520759	0.091446677	0.076198556	0.187355069	0.186734167	0.277816793	0.057465936	0.574107758	0.165791296	0.103804162	0.712927938	0.204753539	-0.194574113	0.811217459	-0.317563763	0.540455624
KSTdGD80.131	-0.783754701	-1.076180561	-0.806798186	-0.977426956	-1.254740718	-1.037265016	0.007446176	-0.004062348	0.110079617	-0.456317421	-0.354951459	-0.60418383	-0.442526581	-0.836798984	-1.100300176	0.20392231	-0.321680048	-0.710421783	0.270459514	-0.867024057	-0.083765296
KSTdGD80.132	0.034409089	-0.234822819	-0.067979691	0.130162818	-0.18033391	0.011938597	0.122086952	0.086037009	0.190058252	-0.630845981	-0.50798216	-0.922775512	-0.592045105	-1.037751911	-1.022351882	0.954867022	0.41827858	0.206851273	0.216940722	-0.978177984	-0.126329604
KSTdGD80.133	0.152780194	-0.130113451	0.096379045	0.361650896	0.03868234	0.301101424	0.180005605	0.142459999	0.286685305	-0.198520284	-0.085025059	-0.347860311	-0.135801	-0.572516725	-0.771112308	1.300044569	0.752623422	0.377336538	0.241441904	-0.935815714	-0.078581533
KSTdGD80.134	-0.030155492	-0.302835521	-0.112500345	0.134194123	-0.149926268	0.101400017	0.003564297	-0.023388497	0.096503147	-0.143704344	-0.049552146	-0.275108793	0.672414055	0.10751354	0.029658857	-0.036248312	-0.580108234	-1.068958105	1.476127572	0.238477029	1.111450938
KSTdGD80.135	0.6260746	0.3335444	0.521665412	0.093901939	-0.209168251	-0.088112417	0.069082017	0.038081916	0.172623494	0.190698054	0.298200875	0.031110609	0.232337622	-0.14239812	-0.212854502	-0.014174542	-0.537124862	-0.911949116	1.229550447	0.091938221	0.778619279
KSTdGD80.137	0.210534022	-0.063357769	0.079199771	-0.135460734	-0.427630219	-0.149264682	0.150900719	0.134558884	0.221247664	-0.430919298	-0.314146535	-0.690674885	0.164148348	-0.359311041	-0.569289646	0.409384639	-0.123611139	-0.528583407	0.779057957	-0.45905925	0.447763144
KSTdGD80.138	-0.116737677	-0.381816373	-0.237240509	0.475112966	0.185116227	0.385046273	0.097139415	0.067264815	0.213973156	-0.007163417	0.093564401	-0.139775273	-0.056711344	-0.351827175	-0.259244081	2.019278346	1.478382848	1.273285209	0.148460065	-1.089452999	-0.073891148
KSTdGD80.141	0.353900393	0.082415455	0.275959825	-0.344205252	-0.604302134	-0.088734905	-0.293426905	-0.312901277	-0.172129425	0.059846815	0.166573908	-0.245202174	-2.122957431	-2.214583353	-2.163330607	0.913700151	0.441818778	0.151501045	-0.806510444	-1.592382082	-0.691330672
KSTdGD80.143	0.042859548	-0.257875516	-0.31263106	0.325828232	0.022731829	0.27058357	0.089345585	0.068121808	0.161568464	-0.022329088	0.102703163	-0.278510653	-1.484434555	-1.713239672	-1.811140561	1.810381753	1.272952904	1.078244719	-0.338771362	-1.427853069	-0.462196425
KSTdGD80.144	-0.720590476	-1.001367957	-0.775287273	-0.750759196	-1.017717565	-0.791718647	0.114410428	0.102697741	0.202338967	-0.275819284	-0.181991691	-0.375677378	-0.270963148	-0.595286827	-1.13007232	1.381455439	0.866324739	0.416268124	-0.5067634	-1.654298847	-0.900316225
KSTdGD80.148	0.284702961	0.024291338	0.127897968	0.019703848	-0.268949196	-0.071415803	0.052771982	0.037930235	0.104719313	-0.322059082	-0.243282117	-0.476317872	0.332553785	-0.193180322	-0.361170279	0.179559675	-0.346043147	-0.700349451	0.886264977	-0.443760058	0.515881653
KSTdGD80.15	0.793411867	0.496238496	0.509084694	0.079027284	-0.203148799	0.065053609	0.219696096	0.199828023	0.272971087	-0.379817716	-0.271510638	-0.607091525	-0.137271759	-0.045936649	0.034670235	0.936757861	0.390519287	-0.110541619	0.284544875	-0.74709839	0.110389069
KSTdGD80.150	0.624420261	0.342322865	0.536012594	-1.351628749	-1.644217268	-1.342168014	0.146406438	0.130638334	0.224362233	-0.154168705	-0.044197352	-0.387741577	-0.692481624	-0.966149878	-1.009655475	0.44723369	-0.071108743	-0.411163708	0.008556459	-1.071810011	-0.057279021
KSTdGD80.151	0.350440756	0.092186005	0.184947228	0.610615764	0.335053071	0.528280358	2.75E-05	-0.026923261	0.091129117	-0.133864018	-0.029773905	-0.302468454	-0.14295657	-0.757985224	-1.126796805	1.77997309	1.243139752	0.897733311	0.762467491	-0.487662178	0.305771005
KSTdGD80.153	-0.69344981	-0.9492138	-0.826221308	-0.327681304	-0.608060277	-0.38694677	0.216803401	0.191269618	0.321424958	-0.340741781	-0.228133539	-0.508003048	-1.023372003	-1.400397747	-1.471257899	1.224158634	0.664636509	0.326475617	-1.125958231	-2.370011455	-1.608129066
KSTdGD80.154	1.210643842	0.93353298	1.119385461	1.387969797	1.082030991	1.184348842	0.14758885	0.115083959	0.240108898	-0.525054853	-0.405788486	-0.873663264	-1.477546604	-1.740941408	-1.585585275	0.9364154	0.389055282	-0.112298678	0.37489995	-0.807527594	0.114009218
KSTdGD80.155	0.043304446	-0.231135153	-0.043525934	-0.74173022	-1.034021909	-0.72191437	-0.000492883	-0.013420156	0.064133424	-0.587937648	-0.471232389	-0.864842643	-0.619992019	-1.160725367	-1.383887485	1.464954957	0.914791987	0.468008124	0.151914357	-1.109086396	-0.10551975
KSTdGD80.156	0.561739543	0.286095686	0.385002265	0.493967551	0.211583084	0.334349976	0.194361121	0.172108118	0.270950083	-0.205431512	-0.117014222	-0.412350336	0.948113903	0.666505748	0.202737618	-0.237816492	-0.770964539	-1.120657045	2.000715853	0.805316365	1.666005574
KSTdGD80.158	0.074513689	-0.180021691	-0.051077007	0.697591826	0.434244208	0.655093605	-0.035251499	-0.057314455	0.056253499	-0.675458491	-0.568551799	-0.894072943	-0.654065749	-1.390793911	-1.459072712	1.016728147	0.468596928	0.13120024	0.416276707	-0.828195781	0.062546432
KSTdGD80.159	0.047663439	-0.229572721	-0.086082593	0.414489924	0.143427356	0.362637059	0.052791711	0.020806703	0.147721065	-0.156672976	-0.034323534	-0.29631156	-0.04241055	-0.181945402	-0.4425103	0.736970191	0.184729665	-0.058412176	0.976252931	-0.174878863	0.65200072
KSTdGD80.16	0.322108683	0.036201601	0.176437138	1.102785613	0.827419264	0.992180579	-0.177078227	-0.216931793	-0.070348151	-0.107165995	0.016181956	-0.301190265	-0.626847742	-0.668424765	-1.030777996	1.970697874	1.397589013	1.001092301	1.763572758	0.619098976	1.545161757
KSTdGD80.160	-0.621496197	-0.904042868	-0.737320719	-0.71269232	-0.991819241	-0.763823725	-0.066798325	-0.081747912	0.029561842	-0.182356611	-0.094012195	-0.304980264	-0.318947862	-0.709223883	-0.987602377	1.106386198	0.552136046	0.168344262	-0.232561502	-1.43016898	-0.647026514
KSTdGD80.161	-0.893898111	-1.160685497	-1.06456214	-0.764952804	-1.038834696	-0.919447932	-0.010561053	-0.031971502	0.078765128	-0.333290855	-0.232042989	-0.546515109	-0.903782596	-1.27705991	-1.45149692	1.574983023	1.023062972	0.604421023	-0.112846614	-1.351218407	-0.559252153
KSTdGD80.163	-0.475319811	-0.723735255	-0.57687438	-1.368559436	-1.638675111	-1.45127177	0.205541585	0.185527032	0.319233278	-0.1609393	-0.052206625	-0.382021485	0.172673915	-0.474885213	-0.63244266	0.199673142	-0.352959874	-0.731911425	1.19712446	-0.146875543	0.846423064
KSTdGD80.166	0.206355384	-0.079438009	0.072242006	0.177167968	-0.128508181	0.144359533	0.110786096	0.093967146	0.214625047	-0.179689717	-0.068624863	-0.383679379	0.417509983	0.066818035	-0.170904424	0.878692255	0.439199925	0.127351999	1.00031326	0.030298575	0.763866699
KSTdGD80.169	-0.743310381	-1.009491046	-0.912796187	-1.258463626	-1.533665835	-1.507233636	-0.07808769	-0.093193431	0.004443612	-0.233735046	-0.117208284	-0.504425468	-0.660158257	-1.098306054	-1.281717999	1.407414761	0.851747339	0.535372018	1.206090517	-0.017190885	1.246478521
